CÓDIGO,NOME
A00,CÓLERA
A01,FEBRES TIFÓIDE E PARATIFÓIDE
A02,OUTRAS INFECÇÕES POR SALMONELLA
A03,SHIGUELOSE
A04,OUTRAS INFECÇÕES INTESTINAIS BACTERIANAS
A05,OUTRAS INTOXICAÇÕES ALIMENTARES BACTERIANAS, NÃO CLASSIFICADAS EM OUTRA PARTE
A06,AMEBÍASE
A07,OUTRAS DOENÇAS INTESTINAIS POR PROTOZOÁRIOS
A08,INFECÇÕES INTESTINAIS VIRAIS, OUTRAS E AS NÃO ESPECIFICADAS
A09,DIARRÉIA E GASTROENTERITE DE ORIGEM INFECCIOSA PRESUMÍVEL
A15,TUBERCULOSE RESPIRATÓRIA, COM CONFIRMAÇÃO BACTERIOLÓGICA E HISTOLÓGICA
A16,TUBERCULOSE DAS VIAS RESPIRATÓRIAS, SEM CONFIRMAÇÃO BACTERIOLÓGICA OU HISTOLÓGICA
A17,TUBERCULOSE DO SISTEMA NERVOSO
A18,TUBERCULOSE DE OUTROS ÓRGÃOS
A19,TUBERCULOSE MILIAR
A20,PESTE
A21,TULAREMIA
A22,CARBÚNCULO
A23,BRUCELOSE
A24,MORMO E MELIOIDOSE
A25,FEBRES TRANSMITIDAS POR MORDEDURA DE RATO
A26,ERISIPELÓIDE
A27,LEPTOSPIROSE
A28,OUTRAS DOENÇAS BACTERIANAS ZOONÓTICAS NÃO CLASSIFICADAS EM OUTRA PARTE
A30,HANSENÍASE [DOENÇA DE HANSEN] [LEPRA]
A31,INFECÇÕES DEVIDAS A OUTRAS MICOBACTÉRIAS
A32,LISTERIOSE [LISTERÍASE]
A33,TÉTANO DO RECÉM-NASCIDO [NEONATAL]
A34,TÉTANO OBSTÉTRICO
A35,OUTROS TIPOS DE TÉTANO
A36,DIFTERIA
A37,COQUELUCHE
A38,ESCARLATINA
A39,INFECÇÃO MENINGOGÓCICA
A40,SEPTICEMIA ESTREPTOCÓCICA
A41,OUTRAS SEPTICEMIAS
A42,ACTINOMICOSE
A43,NOCARDIOSE
A44,BARTONELOSE
A46,ERISIPELA
A48,OUTRAS DOENÇAS BACTERIANAS NÃO CLASSIFICADAS EM OUTRA PARTE
A49,INFECÇÃO BACTERIANA DE LOCALIZAÇÃO NÃO ESPECIFICADA
A50,SÍFILIS CONGÊNITA
A51,SÍFILIS PRECOCE
A52,SÍFILIS TARDIA
A53,OUTRAS FORMAS E AS NÃO ESPECIFICADAS DA SÍFILIS
A54,INFECÇÃO GONOCÓCICA
A55,LINFOGRANULOMA (VENÉREO) POR CLAMÍDIA
A56,OUTRAS INFECÇÕES CAUSADAS POR CLAMÍDIAS TRANSMITIDAS POR VIA SEXUAL
A57,CANCRO MOLE
A58,GRANULOMA INGUINAL
A59,TRICOMONÍASE
A60,INFECÇÕES ANOGENITAIS PELO VÍRUS DO HERPES [HERPES SIMPLES]
A63,OUTRAS DOENÇAS DE TRANSMISSÃO PREDOMINANTEMENTE SEXUAL, NÃO CLASSIFICADAS EM OUTRA PARTE
A64,DOENÇAS SEXUALMENTE TRANSMITIDAS, NÃO ESPECIFICADAS
A65,SÍFILIS NÃO-VENÉREA
A66,BOUBA
A67,PINTA [CARATE]
A68,FEBRES RECORRENTES [BORRELIOSES]
A69,OUTRAS INFECÇÕES POR ESPIROQUETAS
A70,INFECÇÕES CAUSADAS POR CLAMÍDIA PSITTACI
A71,TRACOMA
A74,OUTRAS DOENÇAS CAUSADAS POR CLAMÍDIAS
A75,TIFO EXANTEMÁTICO
A77,FEBRE MACULOSA [RICKETTSIOSES TRANSMITIDAS POR CARRAPATOS]
A78,FEBRE Q
A79,OUTRAS RICKETTSIOSES
A80,POLIOMIELITE AGUDA
